Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
3480000,57.188026,2.046301,0.17807575,1.39682,0.00024801423,None,None,None
3510000,57.74082,1.7755433,0.15650885,1.3968258,0.0002475642,1596.5910702541626,4496.0,1593.4239180428642
3540000,57.974644,None,None,1.3968258,0.0002473388,None,None,1640.9313354492188
3570000,58.15495,21.86535,0.10697387,1.3970463,0.00024688875,None,None,None
3600000,58.633156,1.193266,0.139184,1.3963487,0.00024643872,None,None,None
3630000,59.10096,1.25183,0.15437776,1.3960117,0.0002459888,None,None,None
3660000,59.562798,1.3184738,0.1405671,1.3956873,0.00024538863,1624.8525776032668,4496.0,1624.8525685628256
3690000,59.656326,22.790697,0.09563466,1.3958014,0.00024486333,None,None,None
3720000,59.944626,1.1773974,0.15613033,1.3954262,0.0002444133,None,None,None
3750000,60.428368,1.1220767,0.1715683,1.395145,0.00024396327,None,None,None
3780000,60.971436,1.0703115,0.16369103,1.3946477,0.0002435115,1634.6295476176776,4488.866666666667,1633.9432871682304
3810000,61.136932,None,None,1.3946477,0.00024328788,None,None,1644.2373504638672
3840000,61.23445,23.539713,0.089809164,1.3944843,0.00024283791,None,None,None
3870000,61.632614,0.9693162,0.18784593,1.3944002,0.00024238789,None,None,None
3900000,62.00212,0.94769347,0.16832437,1.3939284,0.00024193787,None,None,None
3930000,62.32494,2.0232694,0.119134694,1.3938521,0.0002413377,1628.44760282229,4495.966666666666,1628.4475967407227
3960000,62.27867,24.624928,0.10618068,1.3938103,0.00024081241,None,None,None
3990000,62.43403,1.8190199,0.15584229,1.3935224,0.00024036247,None,None,None
4020000,62.763,1.1507187,0.13801615,1.3933201,0.00023991245,None,None,None
4050000,63.15787,1.7557015,0.18099941,1.3929194,0.00023946243,1655.1949416875646,4496.0,1656.330768585205
4080000,63.28218,None,None,1.3929194,0.00023923701,None,None,1639.2934188842773
4110000,63.41762,25.613417,0.091538124,1.3927987,0.00023878699,None,None,None
4140000,63.60582,1.8773811,0.2092078,1.3926872,0.00023833696,None,None,None
4170000,63.929516,1.6902629,0.19598156,1.3924558,0.00023788703,None,None,None
4200000,64.37902,1.0471355,0.1579224,1.3923055,0.0002372868,1681.844162016067,4496.0,1681.8441696166992
4230000,64.409096,25.31281,0.099312134,1.3924172,0.00023676152,None,None,None
4260000,64.62785,1.2502763,0.19515489,1.392112,0.00023631152,None,None,None
4290000,64.97168,0.91525334,0.16596635,1.3920305,0.0002358616,None,None,None
4320000,65.39169,1.533088,0.16866384,1.3920395,0.00023541156,1692.2516462794815,4496.0,1695.056518963405
4350000,65.28022,None,None,1.3920395,0.00023518607,None,None,1652.983455657959
4380000,65.30321,26.988844,0.09437068,1.3920231,0.00023473613,None,None,None
4410000,65.235504,1.2181876,0.14016089,1.391777,0.00023428611,None,None,None
4440000,65.36063,2.0703735,0.1959915,1.3918537,0.00023383608,None,None,None
4470000,66.06401,2.5888555,0.14607328,1.3919467,0.0002332359,1669.1677839800018,4496.0,1669.1677894592285
4500000,66.474075,27.021336,0.10253242,1.3919604,0.0002327106,None,None,None
4530000,66.63205,1.1220255,0.19124389,1.3920096,0.00023226065,None,None,None
4560000,66.85848,0.77358186,0.13781744,1.3917873,0.00023181066,None,None,None
4590000,67.05216,1.0019664,0.14604777,1.391822,0.00023136061,1708.6959718873104,4496.0,1706.8967377798897
4620000,67.546936,None,None,1.3918221,0.00023113521,None,None,1733.885154724121
4650000,67.12489,28.558409,0.11361265,1.3920753,0.00023068517,None,None,None
4680000,66.97811,1.8102775,0.1614689,1.3922349,0.00023023516,None,None,None
4710000,67.63598,1.7940787,0.14403602,1.3922899,0.00022978522,None,None,None
4740000,67.91922,1.0054975,0.1512412,1.3923708,0.00022918503,1687.9202594761891,4496.0,1687.9202611287435
4770000,68.38679,29.17655,0.08763054,1.392172,0.00022865976,None,None,None
4800000,68.31093,0.9423182,0.15091969,1.3922879,0.00022820974,None,None,None
4830000,68.57404,1.9260106,0.20380433,1.3920534,0.0002277597,None,None,None
4860000,68.77029,0.8080734,0.1236889,1.3920232,0.00022730978,1700.8492676479586,4496.0,1707.0155432564873
4890000,68.504845,None,None,1.3920232,0.00022708434,None,None,1614.5214767456055
4920000,68.71824,29.421406,0.10211864,1.3921698,0.00022663432,None,None,None
4950000,69.09021,0.98080945,0.1335218,1.3918705,0.0002261843,None,None,None
4980000,69.21193,0.6522649,0.14133252,1.391545,0.00022573426,None,None,None
5010000,69.71924,0.6831241,0.10150192,1.391548,0.00022513409,1734.4521089449836,4496.0,1734.452112833659
5040000,69.92513,30.342638,0.10513306,1.3914344,0.0002246089,None,None,None
5070000,69.92225,1.0244942,0.18336368,1.391391,0.00022415885,None,None,None
5100000,70.166016,0.9314479,0.14803712,1.3913728,0.00022370885,None,None,None
5130000,69.289825,2.052904,0.14517757,1.3916523,0.00022325883,1706.1712833631318,4496.0,1699.9198194231305
5160000,70.88815,None,None,1.3916523,0.00022303342,None,None,1793.6918640136719
5190000,70.40659,30.98579,0.101515695,1.3916758,0.00022258339,None,None,None
5220000,70.26032,1.419785,0.15454307,1.3915523,0.00022213343,None,None,None
5250000,70.35754,1.7176768,0.19729438,1.3913212,0.00022168341,None,None,None
5280000,70.3507,1.0075227,0.13315757,1.3913797,0.00022108322,1711.1391392782486,4496.0,1711.1391497294107
5310000,70.97322,30.841782,0.108276576,1.3913347,0.00022055794,None,None,None
5340000,70.23325,1.5783681,0.18554386,1.39138,0.00022010792,None,None,None
5370000,69.914795,1.6333076,0.17780453,1.3913084,0.00021965799,None,None,None
